left_shoulder_x,right_shoulder_x,left_shoulder_z,right_shoulder_z
7.293706536293029785e-01,3.300188183784484863e-01,-4.512737095355987549e-01,-4.298435747623443604e-01
7.301153540611267090e-01,3.308865427970886230e-01,-4.594717621803283691e-01,-4.358201920986175537e-01
7.314699292182922363e-01,3.314940035343170166e-01,-4.828546643257141113e-01,-4.773495793342590332e-01
7.315431833267211914e-01,3.319401144981384277e-01,-4.810619950294494629e-01,-4.709156453609466553e-01
7.316125631332397461e-01,3.320349752902984619e-01,-4.660788178443908691e-01,-4.588093459606170654e-01
7.316119670867919922e-01,3.324048817157745361e-01,-4.626378715038299561e-01,-4.403995871543884277e-01
7.318276762962341309e-01,3.324904143810272217e-01,-4.044439494609832764e-01,-3.873952925205230713e-01
7.317869663238525391e-01,3.325295448303222656e-01,-4.155761897563934326e-01,-4.013023078441619873e-01
7.308065295219421387e-01,3.325411379337310791e-01,-4.323486387729644775e-01,-4.065914154052734375e-01
7.306458950042724609e-01,3.327208161354064941e-01,-4.517798721790313721e-01,-4.258911013603210449e-01
7.305019497871398926e-01,3.325242102146148682e-01,-5.000194311141967773e-01,-4.562318027019500732e-01
7.305477857589721680e-01,3.320452570915222168e-01,-5.328426957130432129e-01,-4.844924807548522949e-01
7.317332029342651367e-01,3.312862515449523926e-01,-5.215288996696472168e-01,-4.787594377994537354e-01
7.318773269653320312e-01,3.302092552185058594e-01,-5.133737325668334961e-01,-4.779341518878936768e-01
7.322974801063537598e-01,3.295486271381378174e-01,-4.936269521713256836e-01,-4.643582701683044434e-01
7.319428324699401855e-01,3.295207917690277100e-01,-4.903227984905242920e-01,-4.826148152351379395e-01
7.320072054862976074e-01,3.295210599899291992e-01,-4.881987273693084717e-01,-4.822448492050170898e-01
7.320090532302856445e-01,3.298836052417755127e-01,-4.795396924018859863e-01,-4.797527194023132324e-01
7.327182292938232422e-01,3.305096030235290527e-01,-4.970804452896118164e-01,-5.263244509696960449e-01
7.339535951614379883e-01,3.305540084838867188e-01,-4.966737926006317139e-01,-5.269150137901306152e-01
7.339856028556823730e-01,3.304963111877441406e-01,-4.507586061954498291e-01,-4.650382399559020996e-01
7.339935898780822754e-01,3.302765190601348877e-01,-4.474042952060699463e-01,-4.652718603610992432e-01
7.331564426422119141e-01,3.300766646862030029e-01,-4.372778832912445068e-01,-4.641614556312561035e-01
7.335149645805358887e-01,3.299151062965393066e-01,-4.424014091491699219e-01,-4.636725187301635742e-01
7.335444092750549316e-01,3.298543691635131836e-01,-4.440552890300750732e-01,-4.723156988620758057e-01
7.342455983161926270e-01,3.297987580299377441e-01,-4.291772842407226562e-01,-4.512915611267089844e-01
7.347997426986694336e-01,3.297925889492034912e-01,-4.423114359378814697e-01,-4.571540951728820801e-01
7.356416583061218262e-01,3.297858238220214844e-01,-4.442171752452850342e-01,-4.606031775474548340e-01
7.356396317481994629e-01,3.303392827510833740e-01,-4.510295987129211426e-01,-4.688707888126373291e-01
7.348181009292602539e-01,3.303900659084320068e-01,-4.600693285465240479e-01,-4.709124267101287842e-01
7.321894168853759766e-01,3.301954567432403564e-01,-4.402045905590057373e-01,-4.554836452007293701e-01
7.309082150459289551e-01,3.301843404769897461e-01,-4.242280423641204834e-01,-4.320051074028015137e-01
7.301993966102600098e-01,3.300939500331878662e-01,-4.148645102977752686e-01,-4.293667674064636230e-01
7.301524877548217773e-01,3.300914764404296875e-01,-3.974096179008483887e-01,-3.934750258922576904e-01
7.295177578926086426e-01,3.300881087779998779e-01,-3.871450722217559814e-01,-4.014802575111389160e-01
7.294364571571350098e-01,3.300870060920715332e-01,-3.895480334758758545e-01,-4.057641625404357910e-01
7.289571762084960938e-01,3.300538659095764160e-01,-3.916553556919097900e-01,-4.130402803421020508e-01
7.287625670433044434e-01,3.298514783382415771e-01,-3.888632059097290039e-01,-3.993555307388305664e-01
7.287548780441284180e-01,3.305398523807525635e-01,-3.932606875896453857e-01,-4.206412732601165771e-01
7.285858988761901855e-01,3.315694034099578857e-01,-4.236609339714050293e-01,-4.825190603733062744e-01
7.292355298995971680e-01,3.317187130451202393e-01,-4.404230415821075439e-01,-4.755368232727050781e-01
7.298482656478881836e-01,3.316071927547454834e-01,-4.596181213855743408e-01,-4.695389568805694580e-01
7.308627963066101074e-01,3.314733803272247314e-01,-4.556984007358551025e-01,-4.647219479084014893e-01
7.311550974845886230e-01,3.314475417137145996e-01,-4.596468210220336914e-01,-4.737693369388580322e-01
7.354125976562500000e-01,3.301978111267089844e-01,-4.847818315029144287e-01,-4.802195131778717041e-01
7.360624670982360840e-01,3.282709419727325439e-01,-4.885469377040863037e-01,-4.773764908313751221e-01
7.373437881469726562e-01,3.282608091831207275e-01,-4.677919447422027588e-01,-4.224412739276885986e-01
7.368124723434448242e-01,3.306444883346557617e-01,-4.336773753166198730e-01,-4.238600432872772217e-01
7.366060018539428711e-01,3.319472074508666992e-01,-4.300836026668548584e-01,-4.610493779182434082e-01
7.367419600486755371e-01,3.322818577289581299e-01,-4.652605056762695312e-01,-5.204830765724182129e-01
7.388477921485900879e-01,3.303445875644683838e-01,-4.799801409244537354e-01,-4.962180256843566895e-01
7.393382191658020020e-01,3.277903199195861816e-01,-4.893491864204406738e-01,-4.334191679954528809e-01
7.399146556854248047e-01,3.275486528873443604e-01,-4.906772673130035400e-01,-4.296627342700958252e-01
7.399741411209106445e-01,3.276143670082092285e-01,-4.875102937221527100e-01,-4.624620079994201660e-01
7.403964400291442871e-01,3.276490867137908936e-01,-4.875917136669158936e-01,-4.732555150985717773e-01
7.411082386970520020e-01,3.261407613754272461e-01,-4.928982853889465332e-01,-4.982932806015014648e-01
7.413586378097534180e-01,3.260386586189270020e-01,-4.624714553356170654e-01,-4.944275319576263428e-01
7.415630221366882324e-01,3.270826637744903564e-01,-4.316439628601074219e-01,-4.591639935970306396e-01
7.415679693222045898e-01,3.290486931800842285e-01,-4.166626632213592529e-01,-4.166055917739868164e-01
7.411696910858154297e-01,3.307051956653594971e-01,-4.087804853916168213e-01,-3.840636014938354492e-01
7.410851716995239258e-01,3.310171961784362793e-01,-4.043744504451751709e-01,-3.571328222751617432e-01
7.408339381217956543e-01,3.287630975246429443e-01,-4.378342032432556152e-01,-3.781728148460388184e-01
7.429631948471069336e-01,3.274643719196319580e-01,-5.186470746994018555e-01,-4.803017675876617432e-01
7.454735040664672852e-01,3.258798420429229736e-01,-5.188447237014770508e-01,-4.798127114772796631e-01
7.464426159858703613e-01,3.251389563083648682e-01,-5.062670111656188965e-01,-4.778305292129516602e-01
7.466288805007934570e-01,3.245116770267486572e-01,-5.037752389907836914e-01,-4.730228185653686523e-01
7.466108202934265137e-01,3.238076269626617432e-01,-4.725958406925201416e-01,-4.598323404788970947e-01
7.462329268455505371e-01,3.236809968948364258e-01,-4.886781275272369385e-01,-4.686859846115112305e-01
7.454996109008789062e-01,3.231101930141448975e-01,-4.651671946048736572e-01,-4.680545628070831299e-01
7.448443174362182617e-01,3.235196471214294434e-01,-4.521881341934204102e-01,-3.986790776252746582e-01
7.442690730094909668e-01,3.249131143093109131e-01,-4.586267769336700439e-01,-3.645216226577758789e-01
7.427951097488403320e-01,3.269113898277282715e-01,-3.851978182792663574e-01,-3.253221809864044189e-01
7.421218752861022949e-01,3.291847407817840576e-01,-3.924540877342224121e-01,-3.166529536247253418e-01
7.421143054962158203e-01,3.322301805019378662e-01,-3.478232026100158691e-01,-2.844963371753692627e-01
7.413814663887023926e-01,3.342821300029754639e-01,-3.054925799369812012e-01,-2.053509205579757690e-01
7.410681843757629395e-01,3.338133692741394043e-01,-3.654199242591857910e-01,-3.376220166683197021e-01
7.384923100471496582e-01,3.337430953979492188e-01,-3.748319745063781738e-01,-3.675392866134643555e-01
7.382192611694335938e-01,3.349044919013977051e-01,-4.402100443840026855e-01,-4.438734650611877441e-01
7.375525832176208496e-01,3.349098265171051025e-01,-4.350327551364898682e-01,-4.390723407268524170e-01
7.375752925872802734e-01,3.350178301334381104e-01,-4.366621673107147217e-01,-4.275178313255310059e-01
7.375850677490234375e-01,3.349633514881134033e-01,-4.884918928146362305e-01,-4.657084345817565918e-01
7.355936765670776367e-01,3.332105278968811035e-01,-3.999315500259399414e-01,-3.782583177089691162e-01
7.333961129188537598e-01,3.314619958400726318e-01,-3.851871788501739502e-01,-3.609698712825775146e-01
7.332589626312255859e-01,3.283892869949340820e-01,-3.911172151565551758e-01,-3.799391984939575195e-01
7.327988147735595703e-01,3.274913132190704346e-01,-2.730565667152404785e-01,-2.378088384866714478e-01
7.323455214500427246e-01,3.274532854557037354e-01,-2.415706813335418701e-01,-2.389512211084365845e-01
7.315216064453125000e-01,3.273165524005889893e-01,-2.538285255432128906e-01,-2.762949764728546143e-01
7.304705381393432617e-01,3.277378082275390625e-01,-2.724151909351348877e-01,-3.506135046482086182e-01
7.302592992782592773e-01,3.288784325122833252e-01,-2.897260785102844238e-01,-4.111794531345367432e-01
7.302179336547851562e-01,3.298792243003845215e-01,-2.882468104362487793e-01,-3.973382711410522461e-01
7.303146123886108398e-01,3.306179344654083252e-01,-2.943410873413085938e-01,-3.969438374042510986e-01
7.305500507354736328e-01,3.306831419467926025e-01,-2.949420213699340820e-01,-3.996616601943969727e-01
7.305557131767272949e-01,3.305684626102447510e-01,-3.202496767044067383e-01,-4.453954696655273438e-01
7.305616140365600586e-01,3.302598595619201660e-01,-3.399688005447387695e-01,-4.618455171585083008e-01
7.301114201545715332e-01,3.304960131645202637e-01,-3.791480362415313721e-01,-4.451420009136199951e-01
7.309618592262268066e-01,3.304993808269500732e-01,-4.495060145854949951e-01,-4.633825719356536865e-01
7.309426069259643555e-01,3.308450877666473389e-01,-4.724102914333343506e-01,-4.673999547958374023e-01
7.314779162406921387e-01,3.311206400394439697e-01,-4.583140611648559570e-01,-4.561400711536407471e-01
7.327148914337158203e-01,3.312889039516448975e-01,-4.493342041969299316e-01,-4.530187547206878662e-01
7.328106760978698730e-01,3.311834037303924561e-01,-4.522475600242614746e-01,-4.504184126853942871e-01
7.328128814697265625e-01,3.312221169471740723e-01,-4.435752928256988525e-01,-4.116412401199340820e-01
7.320194840431213379e-01,3.301936089992523193e-01,-3.978764116764068604e-01,-3.920887410640716553e-01
7.286776900291442871e-01,3.289138376712799072e-01,-4.024978578090667725e-01,-3.948460221290588379e-01
7.251991033554077148e-01,3.259408771991729736e-01,-3.934311866760253906e-01,-3.562232553958892822e-01
7.229467034339904785e-01,3.252061307430267334e-01,-3.962603509426116943e-01,-3.658640980720520020e-01
7.218962311744689941e-01,3.249116241931915283e-01,-4.167612791061401367e-01,-3.800070881843566895e-01
7.202335000038146973e-01,3.244813680648803711e-01,-4.098898470401763916e-01,-3.810046315193176270e-01
